[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:25,608 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:38:51,392 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:39:06,468 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
