[Quantification.py] 2023-12-26 00:44:41,579 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:44:41,579 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:44:41,579 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:44:41,579 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:44:41,579 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:44:41,579 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:44:41,579 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:44:41,579 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:10,719 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:10,719 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:10,719 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:10,719 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:10,719 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:10,719 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:10,719 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:10,719 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:10,719 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:10,719 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:10,719 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:10,719 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:10,719 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:10,719 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:10,719 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:10,719 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:39,855 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:39,855 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:39,855 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:39,855 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:39,855 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:39,855 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:39,855 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:39,855 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:39,855 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:39,855 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:39,855 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:39,855 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:39,855 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:39,855 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:39,855 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:39,855 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:46:39,855 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:47:01,936 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:47:01,936 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:47:01,936 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:47:01,936 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:47:01,936 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:47:01,936 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:47:01,936 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:47:01,936 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:47:01,936 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:47:01,936 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:47:01,936 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:47:01,936 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:47:01,936 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:47:01,936 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:47:01,936 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:47:01,936 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:47:01,936 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:47:01,936 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
