FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor,Compound Source,Compound Type Abbreviation
10.305,0.103,10.3036,"(1,2,4-Trimethylcyclohexyl)methanol, acetate (isomer 2)",C12H22O2,60.22207783,Manual assignment based on HydroUI,O
10.37,0.1774,,No match,,,Manual assignment based on HydroUI,
10.422,0.4619,10.421,"(1,2,4-Trimethylcyclohexyl)methanol (isomer 3)",C10H20O,66.40336007,Manual assignment based on HydroUI,O
10.534,2.0198,10.5289,"Heptane, 3-ethyl-2-methyl-",C10H22,94.49960072,Manual assignment based on HydroUI,B
10.666,3.4822,10.5668,"Benzene, propyl-",C9H12,86.45594737,Manual assignment based on HydroUI,A
10.718,6.6941,10.7135,"Nonane, 2-methyl-",C10H22,92.64616023,Manual assignment based on HydroUI,B
10.789,0.114,10.7871,"Octane, 3-ethyl-",C10H22,67.10621958,Manual assignment based on HydroUI,B
10.851,5,10.8493,"Benzene, 1,2,4-trimethyl-",C9H12,95.5767432,Manual assignment based on HydroUI,A
10.961,1.6532,10.9565,"Undecane, 4,6-dimethyl-",C13H28,86.15165281,Manual assignment based on HydroUI,B
11.054,0.5034,11.0503,"Pentane, 2,2,3-trimethyl-",C8H18,64.45142719,Manual assignment based on HydroUI,B
11.088,0.3683,11.0864,"Benzene, 1-ethyl-4-methyl-",C9H12,88.8572506,Manual assignment based on HydroUI,A
11.125,0.4077,11.1214,"m-Menthane, (1S,3S)-(+)-",C10H20,78.63807628,Manual assignment based on HydroUI,C
11.181,0.2579,11.1775,"Cyclohexane, 1-methyl-4-(1-methylethyl)-, trans-",C10H20,79.49415079,Manual assignment based on HydroUI,C
11.243,0.147,11.2354,"Trans-1,4-diethylcyclohexane",C10H20,71.29877027,Manual assignment based on HydroUI,C
11.295,0.0832,11.2932,"Octane, 2,6,6-trimethyl-",C11H24,50.2671679,Manual assignment based on HydroUI,B
11.347,6.3257,11.3443,"Benzene, 1,2,4-trimethyl-",C9H12,98.15641772,Manual assignment based on HydroUI,B
11.396,1.5723,11.3933,Decane,C10H22,89.66206369,Manual assignment based on HydroUI,L
11.463,0.2934,11.4601,"m-Menthane, (1S,3S)-(+)-",C10H20,77.98226069,Manual assignment based on HydroUI,C
11.546,0.0532,,No match,,,Manual assignment based on HydroUI,
11.614,0.1238,,No match,,,Manual assignment based on HydroUI,
11.659,1.0018,11.6568,Undecane,C11H24,89.4351595,Manual assignment based on HydroUI,L
11.701,0.29,,No match,,,Manual assignment based on HydroUI,
11.763,1.4033,11.7597,"Nonane, 2,5-dimethyl-",C11H24,94.99604552,Manual assignment based on HydroUI,B
11.815,1.0509,11.8114,"Decane, 4-methyl-",C11H24,93.09181559,Manual assignment based on HydroUI,B
11.907,3.2084,11.9081,"Undecane, 4,6-dimethyl-",C13H28,89.2042996,Manual assignment based on HydroUI,B
12.031,2.3012,12.0273,"Dodecane, 2,7,10-trimethyl-",C15H32,91.61592218,Manual assignment based on HydroUI,B
12.111,1.1166,12.107,"Nonane, 3,7-dimethyl-",C11H24,89.1608036,Manual assignment based on HydroUI,B
12.173,0.232,12.172,"Pimelic acid, di(3-phenylpropyl) ester",C25H32O4,65.54386132,Manual assignment based on HydroUI,O
12.285,0.1587,,No match,,,Manual assignment based on HydroUI,
12.335,0.1286,12.3332,"2H-Pyran-2-one, 4-hydroxy-6-methyl-",C6H6O3,70.6515263,Manual assignment based on HydroUI,O
12.394,0.8957,12.3913,"Benzene, 1-methyl-4-propyl-",C10H14,87.24527963,Manual assignment based on HydroUI,A
12.425,0.9921,12.4229,"Decane, 5-methyl-",C11H24,90.52603481,Manual assignment based on HydroUI,B
12.48,1.3438,12.4767,"Nonane, 4-methyl-5-propyl-",C13H28,88.40843491,Manual assignment based on HydroUI,B
12.54,3.2805,12.538,"Decane, 2-methyl-",C11H24,95.25808995,Manual assignment based on HydroUI,B
12.594,0.1739,12.5963,"2-Cyclopenten-1-one, 3-methoxy-5-methyl-",C7H10O2,58.75508597,Manual assignment based on HydroUI,O
12.656,1.9244,12.6516,"Nonane, 5-butyl-",C13H28,93.77714428,Manual assignment based on HydroUI,B
12.711,0.4387,12.7083,3-Ethyl-3-methylheptane,C10H22,75.07195952,Manual assignment based on HydroUI,B
12.801,0.5626,12.7925,"Undecane, 3,5-dimethyl-",C13H28,89.54705587,Manual assignment based on HydroUI,B
12.847,0.544,12.8461,"Benzene, 2-ethyl-1,4-dimethyl-",C10H14,79.76118518,Manual assignment based on HydroUI,A
12.88,0.6371,12.8753,"Benzene, 2-ethyl-1,4-dimethyl-",C10H14,93.96721984,Manual assignment based on HydroUI,A
12.938,0.2371,12.9369,"Cyclohexanone, 3-butyl-",C10H18O,60.46145536,Manual assignment based on HydroUI,O
12.988,1.692,12.985,"Benzene, 2-ethyl-1,4-dimethyl-",C10H14,95.0536119,Manual assignment based on HydroUI,A
