,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
149,10.2243,"Octane, 3,6-dimethyl-",C10H22,83.41369925,"Octane, 3,6-dimethyl-",C10H22,83.41369925,"Octane, 2,6-dimethyl-",C10H22,78.29395728
148,10.5274,"Heptane, 3-ethyl-2-methyl-",C10H22,90.30957612,"Heptane, 3-ethyl-2-methyl-",C10H22,90.30957612,"Nonane, 4-methyl-",C10H22,81.48276551
147,10.662,"Heptane, 3,3,4-trimethyl-",C10H22,79.48101046,"Heptane, 3,3,4-trimethyl-",C10H22,79.48101046,"2,2,4-Trimethyl-3-pentanone",C8H16O,76.40155212
146,10.6882,2-(Butyliden-2-one)tetrahydrofuran,C8H12O2,66.20571776,1-(2-Thienyl)-1-propanone,C7H8OS,70.48021409,2-(Butyliden-2-one)tetrahydrofuran,C8H12O2,66.20571776
145,10.7158,"Nonane, 4-methyl-",C10H22,88.33970191,"Nonane, 4-methyl-",C10H22,88.33970191,"Benzene, (1-methylethyl)-",C9H12,59.95327096
144,10.7243,"Benzene, (1-methylethyl)-",C9H12,80.47971466,"Benzene, (1-methylethyl)-",C9H12,80.47971466,"Benzene, 1-ethyl-2-methyl-",C9H12,77.97799787
143,10.8516,"Nonane, 3-methyl-",C10H22,88.02386694,"Nonane, 3-methyl-",C10H22,88.02386694,Mesitylene,C9H12,71.2576157
142,10.9626,"Pentane, 2,2-dimethyl-",C7H16,82.17777998,"Pentane, 2,2-dimethyl-",C7H16,82.17777998,"Cyclohexane, 1,1,3-trimethyl-",C9H18,70.08164568
141,11.0909,"Hexane, 2,2,4-trimethyl-",C9H20,60.86099013,"Hexane, 2,2,4-trimethyl-",C9H20,60.86099013,"Decane, 2,2-dimethyl-",C12H26,60.22544144
140,11.3484,"Benzene, 1,2,4-trimethyl-",C9H12,95.43768093,"Benzene, 1,2,4-trimethyl-",C9H12,95.43768093,.alpha.-Benzylphenethylamine,C15H17N,63.0397064
139,11.6548,"Pentane, 2,2-dimethyl-",C7H16,83.11213422,"Pentane, 2,2-dimethyl-",C7H16,83.11213422,"Pentane, 2,2-dimethyl-",C7H16,79.83155312
138,11.7616,"4,4-Dimethyl octane",C10H22,84.38695869,"4,4-Dimethyl octane",C10H22,84.38695869,"Pentane, 3-ethyl-2,3-dimethyl-",C9H20,76.84486628
137,11.8998,"Benzene, 1-ethyl-4-methyl-",C9H12,84.55030953,"Benzene, 1-ethyl-4-methyl-",C9H12,84.55030953,"Benzene, (1-methylethyl)-",C9H12,80.34928771
136,11.9056,"Benzene, (1,3,3-trimethylnonyl)-",C18H30,68.97239903,"Benzene, (1,3,3-trimethylnonyl)-",C18H30,68.97239903,"Benzene, 1,2,3-trimethyl-",C9H12,63.09533628
135,11.9119,"Nonane, 3,7-dimethyl-",C11H24,82.6002902,"Nonane, 3,7-dimethyl-",C11H24,82.6002902,"Butane, 2,2-dimethyl-",C6H14,79.82056356
134,12.028,"Decane, 2,9-dimethyl-",C12H26,83.96042182,"Decane, 2,9-dimethyl-",C12H26,83.96042182,"Heptane, 4-ethyl-2,2,6,6-tetramethyl-",C13H28,77.94553268
133,12.1093,"Nonane, 3,7-dimethyl-",C11H24,87.33157529,"Nonane, 3,7-dimethyl-",C11H24,87.33157529,"Decane, 3-methyl-",C11H24,81.54510093
