FID RT (min),FID Signal,,MS RT (min),MS Signal
0.236659383,3.454882444,,1.111,0.755272028
0.237492717,3.454916478,,1.114,0.7638671
0.23832605,3.456204633,,1.118,0.761301623
0.239159383,3.457172944,,1.122,0.760797949
0.239992717,3.458832211,,1.125,0.772172287
0.24082605,3.461217711,,1.129,0.774831977
0.241659383,3.463063233,,1.132,0.773085423
0.242492717,3.463531733,,1.136,0.777915622
0.24332605,3.461165933,,1.14,0.777922869
0.244159383,3.459898933,,1.143,0.766900015
0.244992717,3.457782989,,1.147,0.758895583
0.24582605,3.456150522,,1.15,0.763859853
0.246659383,3.452590678,,1.154,0.768059553
0.247492717,3.451518056,,1.157,0.772944105
0.24832605,3.450671989,,1.161,0.764428751
0.249159383,3.451564833,,1.165,0.750981739
0.249992717,3.453231511,,1.168,0.746166034
0.25082605,3.455027211,,1.172,0.746553755
0.251659383,3.456165767,,1.175,0.75105421
0.252492717,3.457438411,,1.179,0.763569968
0.25332605,3.459442956,,1.183,0.777002486
0.254159383,3.460095533,,1.186,0.779720152
0.254992717,3.457444578,,1.19,0.772353465
0.25582605,3.455335244,,1.193,0.762189394
0.256659383,3.455915789,,1.197,0.754087125
0.257492717,3.458892444,,1.201,0.75357258
0.25832605,3.460751044,,1.204,0.76332719
0.259159383,3.458897056,,1.208,0.775418993
0.259992717,3.456186844,,1.211,0.781564542
0.26082605,3.454478567,,1.215,0.782166052
0.261659383,3.455650622,,1.218,0.77913676
0.262492717,3.456916589,,1.222,0.771983863
0.26332605,3.457868122,,1.226,0.765236803
0.264159383,3.458950144,,1.229,0.76611008
0.264992717,3.459077378,,1.233,0.769925683
0.26582605,3.456304589,,1.236,0.767005098
0.266659383,3.4550207,,1.24,0.759757989
0.267492717,3.4531115,,1.244,0.758710781
0.26832605,3.450823011,,1.247,0.76774068
0.269159383,3.448415633,,1.251,0.774052912
0.269992717,3.447829933,,1.254,0.767842139
0.27082605,3.448859189,,1.258,0.755695984
0.271659383,3.450903567,,1.262,0.745267393
0.272492717,3.453914589,,1.265,0.743176602
0.27332605,3.456493244,,1.269,0.753989289
0.274159383,3.4571791,,1.272,0.766736955
0.274992717,3.4537979,,1.276,0.771755579
0.27582605,3.448924289,,1.279,0.771780944
0.276659383,3.446737944,,1.283,0.768135647
0.277492717,3.4490446,,1.287,0.761754567
0.27832605,3.454397233,,1.29,0.758221601
0.279159383,3.454886244,,1.294,0.756913498
0.279992717,3.452809022,,1.297,0.753652299
0.28082605,3.450688611,,1.301,0.75253262
0.281659383,3.452571511,,1.305,0.757475149
0.282492717,3.456594578,,1.308,0.762924975
0.28332605,3.4595218,,1.312,0.761508166
0.284159383,3.458758389,,1.315,0.75608008
0.284992717,3.456379867,,1.319,0.755406099
0.28582605,3.4547822,,1.323,0.763671428
0.286659383,3.455035622,,1.326,0.773049188
0.287492717,3.453974844,,1.33,0.771650496
0.28832605,3.452760933,,1.333,0.763294578
0.289159383,3.452331811,,1.337,0.7554677
0.289992717,3.454258311,,1.34,0.745158686
0.29082605,3.457423656,,1.344,0.735943986
0.291659383,3.458459778,,1.348,0.735585254
0.292492717,3.457871822,,1.351,0.741466284
0.29332605,3.455282044,,1.355,0.747974188
0.294159383,3.453289667,,1.358,0.753521851
0.294992717,3.452446111,,1.362,0.75569236
0.29582605,3.455921978,,1.366,0.756264882
0.296659383,3.458378656,,1.369,0.758518733
0.297492717,3.460465789,,1.373,0.756764932
0.29832605,3.458950733,,1.376,0.747803881
0.299159383,3.458280867,,1.38,0.742118524
0.299992717,3.456722278,,1.383,0.745597136
0.30082605,3.453318533,,1.387,0.752057935
0.301659383,3.452034122,,1.391,0.755848173
0.302492717,3.451706011,,1.394,0.754985767
0.30332605,3.453508267,,1.398,0.750691854
0.304159383,3.456000344,,1.401,0.748285814
0.304992717,3.457417378,,1.405,0.750822302
0.30582605,3.457842933,,1.409,0.753543592
0.306659383,3.455923056,,1.412,0.753913195
0.307492717,3.456417967,,1.416,0.757301218
0.30832605,3.4561313,,1.419,0.76278728
0.309159383,3.456533678,,1.423,0.763446767
0.309992717,3.455769511,,1.427,0.76300107
0.31082605,3.457069911,,1.43,0.768316825
0.311659383,3.456895644,,1.434,0.773784769
0.312492717,3.456024967,,1.437,0.770690253
0.31332605,3.456016044,,1.441,0.765302027
0.314159383,3.4570571,,1.444,0.764309173
0.314992717,3.459199067,,1.448,0.760464582
0.31582605,3.458176911,,1.452,0.752409419
0.316659383,3.458644967,,1.455,0.748532216
0.317492717,3.458813689,,1.459,0.747937953
0.31832605,3.459340033,,1.462,0.744401363
0.319159383,3.458394411,,1.466,0.742111277
0.319992717,3.457409433,,1.47,0.744633271
0.32082605,3.458596333,,1.473,0.745242028
0.321659383,3.460129544,,1.477,0.743383144
0.322492717,3.458783956,,1.48,0.745796432
0.32332605,3.455652011,,1.484,0.749039513
0.324159383,3.453640411,,1.488,0.750282393
0.324992717,3.456662678,,1.491,0.753971172
0.32582605,3.459485311,,1.495,0.756540272
0.326659383,3.458390433,,1.498,0.753206601
0.327492717,3.455798833,,1.502,0.751489036
0.32832605,3.454293178,,1.505,0.75629387
0.329159383,3.454978811,,1.509,0.759551446
0.329992717,3.4568615,,1.513,0.754554564
0.33082605,3.4579354,,1.516,0.746137046
0.331659383,3.458271878,,1.52,0.740506042
0.332492717,3.455809,,1.523,0.737944188
0.33332605,3.453663956,,1.527,0.738658029
0.334159383,3.451100811,,1.531,0.742520738
0.334992717,3.451022133,,1.534,0.748470615
0.33582605,3.451284144,,1.538,0.753445756
0.336659383,3.451614567,,1.541,0.755134333
0.337492717,3.451995833,,1.545,0.755880785
0.33832605,3.453068456,,1.549,0.75793534
0.339159383,3.4536308,,1.552,0.757931717
0.339992717,3.4512938,,1.556,0.751398448
0.34082605,3.449546567,,1.559,0.739306645
0.341659383,3.451074511,,1.563,0.732215348
0.342492717,3.453883344,,1.566,0.739034878
0.34332605,3.454650733,,1.57,0.750405594
0.344159383,3.455304044,,1.574,0.752387678
0.344992717,3.454303789,,1.577,0.747202371
0.34582605,3.454587533,,1.581,0.747445149
0.346659383,3.455426422,,1.584,0.753768252
0.347492717,3.457110911,,1.588,0.757779528
0.34832605,3.4565505,,1.592,0.756438812
0.349159383,3.454842978,,1.595,0.753181237
0.349992717,3.455813278,,1.599,0.750956374
0.35082605,3.459276289,,1.602,0.74985119
0.351659383,3.460680989,,1.606,0.749789589
0.352492717,3.459794144,,1.61,0.751898498
