Component RT,Compound Name,Match Factor,Best Hit,Formula
4.45527554140418,Acetone,95.1911779333049,,C3H6O
4.45527554140418,Acetone,95.5777801111799,,C3H6O
4.45527554140418,Acetone,96.4706645351699,,C3H6O
4.45527554140418,Acetone,97.6831092397894,,C3H6O
4.45527554140418,Acetone,96.0749049862156,,C3H6O
4.45527554140418,Acetone,96.1913453613786,,C3H6O
4.45527554140418,Acetone,96.3281159458688,,C3H6O
4.45527554140418,Acetone,98.7720835182684,,C3H6O
4.45527554140418,Acetone,98.6985196189341,,C3H6O
4.46764359885228,Unknown 28,,,
4.46764359885228,Unknown 29,,,
4.5563792525721,"Benzoic acid, 1-(3,3-dimethyl-2-oxobicyclo[4.1.0]hept-7-yl)-ethyl ester",52.5806046845567,False,C18H22O3
